date,equity
2025-01-02,1.0
2025-01-03,1.0
2025-01-06,1.0
2025-01-07,1.0
2025-01-08,1.0
2025-01-09,1.0
2025-01-10,0.9912280701754386
2025-01-13,0.9824561403508771
2025-01-14,0.9824561403508771
2025-01-15,0.9824561403508771
2025-01-16,0.9824561403508771
2025-01-17,0.9824561403508771
2025-01-20,0.9824561403508771
2025-01-21,0.9747134912587948
2025-01-22,0.9540664270132422
2025-01-23,0.9540664270132422
2025-01-24,0.9540664270132422
2025-01-27,0.9540664270132422
2025-02-05,0.9540664270132422
2025-02-06,0.9540664270132422
2025-02-07,0.9540664270132422
2025-02-10,0.9540664270132422
2025-02-11,0.9532317232275788
2025-02-12,0.9532317232275788
2025-02-13,0.9599093535128858
2025-02-14,0.9640828724412026
2025-02-17,0.9832810595114603
2025-02-18,0.9857851708684503
2025-02-19,0.9774381330118167
2025-02-20,0.9732646140834997
2025-02-21,0.971595206512173
2025-02-24,0.967421687583856
2025-02-25,0.9574052421558955
2025-02-26,0.9615787610842124
2025-02-27,0.9699257989408462
2025-02-28,0.9624134648698758
